CODE,LIBELLE
P,PROPRIETAIRE
U,USUFRUITIER (ASSOCIE AVEC N)
N,NU-PROPRIETAIRE (ASSOCIE AVEC U)
B,BAILLEUR A CONSTRUCTION (ASSOCIE AVEC R)
R,PRENEUR A CONSTRUCTION (ASSOCIE AVEC B)
F,FONCIER (ASSOCIE AVEC D OU T)
T,TENUYER (ASSOCIE AVEC F)
D,DOMANIER (ASSOCIE AVEC F)
V,BAILLEUR D'UN BAIL A REHABILITATION (ASSOCIE AVEC W)
W,PRENEUR D'UN BAIL A REHABILITATION (ASSOCIE AVEC V)
A,LOCATAIRE-ATTRIBUTAIRE (ASSOCIE AVEC P)
E,EMPHYTEOTE (ASSOCIE AVEC P)
K,ANTICHRESISTE (ASSOCIE AVEC P)
L,FONCTIONNAIRE LOGE
G,"GERANT,MANDATAIRE,GESTIONNAIRE"
S,SYNDIC DE COPROPRIETE
H,ASSOCIE DANS UNE SOCIETE EN TRANSPARENCE FISCALE(ASSOCIE AVEC P)
O,AUTORISATION D'OCCUPATION TEMPORAIRE (70 ANS)
J,JEUNE AGRICULTEUR
Q,GESTIONNAIRE TAXE SUR LES BUREAUX (ILE DE FRANCE)
X,LA POSTE PROPRIETAIRE ET OCCUPANT
Y,LA POSTE OCCUPANT - NON PROPRIETAIRE
C,FIDUCIAIRE
M,OCCUPANT D UNE PARCELLE APPARTENANT AU DEPARTEMENT DE MAYOTTE OU A L ETAT (ASSOCIE A P)
