CODE,LIBELLE
CV,CAVE (POUR DHA ET DDE)
GA,GARAGE (POUR DHA ET DDE)
GR,GRENIER (POUR DHA ET DDE)
TR,TERRASSE (POUR DHA ET DDE)
BC,BUCHER (POUR DDE SEULEMENT)
BD,BUANDERIE (POUR DDE SEULEMENT)
BX,BOX (POUR DDE SEULEMENT)
CD,CHAMBRE DE DOMESTIQUE (POUR DDE SEULEMENT)
CL,CELLIER (POUR DDE SEULEMENT)
DC,DEPENDANCE DE LOCAL COMMUN (POUR DDE SEULEMENT)
GC,GRENIER/CAVE (POUR DDE SEULEMENT)
GP,GARAGE/PARKING (POUR DDE SEULEMENT)
JH,JARDIN D HIVER (POUR DDE SEULEMENT)
PA,ELEMENT DE PUR AGREMENT (POUR DDE SEULEMENT)
PI,PIECE INDEPENDANTE (POUR DDE SEULEMENT)
PK,PARKING (POUR DDE SEULEMENT)
PS,PISCINE (POUR DDE SEULEMENT)
RS,REMISE (POUR DDE SEULEMENT)
SR,SERRE (POUR DDE SEULEMENT)
TT,TOITURE-TERRASSE (POUR DDE SEULEMENT)
