CODE,LIBELLE
AP,APPARTEMENT
AT,ANTENNE TELEPHONE
AU,AUTOROUTE
CA,COMMERCE SANS BOUTIQUE
CB,LOCAL DIVERS
CD,DEPENDANCE COMMERCIALE
CH,CHANTIER
CM,COMMERCE AVEC BOUTIQUE
DC,DEPENDANCE LIEUX COMMUNS
DE,DEPENDANCE BATIE ISOLEE
LC,LOCAL COMMUN
MA,MAISON
ME,MAISON EXCEPTIONNELLE
MP,MAISON PARTAGEE PAR UNE LIMITE TERRITORIALE
PP,PORT DE PLAISANCE
SM,SOL DE MAISON
U,ETABLISSEMENT INDUSTRIEL (EVALUE PAR METHODE COMPTABLE)
U1,GARE
U2,GARE : TRIAGE
U3,GARE : ATELIER MATERIEL
U4,GARE : ATELIER MAGASIN
U5,GARE : DEPOT – TITULAIRE
U6,GARE : DEPOT – REEL
U7,GARE : MATERIEL TRANSPORT
U8,GARE : ENTRETIEN MATERIEL ROULANT
U9,GARE : STATION USINE
UE,TRANSFORMATEUR ELECTRIQUE
UG,APPAREIL A GAZ
UN,USINE NUCLEAIRE
US,ETABLISSEMENT INDUSTRIEL (EVALUE PAR METHODE PARTICULIERE)
