CODE,LIBELLE
ABREU,ABREUVOIRS
ABRIC,ABRICOTIERS
ACACI,ACACIAS
AEROD,AERODROMES
AIRE,AIRE OU AIRIAL
ALLEE,ALLEE (NO GROUPE)
ALLUV,ALLUVIONS
AMAND,AMANDIERS
ARDOI,ARDOISERIES
ARGIL,ARGILIERE
ASPER,ASPERGERAIE
AULNE,AULNAIE
AVENU,AVENUE
BALLA,BALLASTIERE
BAMBO,BAMBOUSERAIE
BASS,BASSINS
BIEF,BIEF
BOUL,BOULAIE
BROUS,BROUSSAILLES OU BUISSONS
BRUY,BRUYERES
BTIGE,VERGER EXPLOITE EN BASSES TIGES
BUIS,BUISSIERE
CAMP,TERRAIN DE CAMPING
CANAL,CANAL
CASS,CASSIS
CEDRA,CEDRATIERS
CERCL,CERCLIERES
CERIS,CERISAIE OU CERISIERS
CHASS,TERRAIN DE CHASSE
CHAT,CHATAIGNERAIE
CHEM,CHEMIN DE REMEMBREMENT
CHENE,CHENES
CHLIE,CHENES-LIEGES
CHTRU,CHENES TRUFFIERS
CHVER,CHENES VERTS
CIDRE,CIDRE
CITRO,CITRONNIERS
CLAIR,CLAIRES
COING,COGNASSIERS
COULE,BOIS DE COULEUR
CRAY,CRAYERE
CRESS,CRESSONNIERE
CRYPT,CRYPTOMERIA
DIGUE,DIGUES
DUNE,DUNES
EAU,PIECE D EAU
ECOLE,ECOLE
EPICE,EPICEAS
ESPAL,VERGER EXPLOITE EN ESPALIERS
ETANG,ETANGS
EUCAL,EUCALYPTUS
FALAI,FALAISES
FAMIL,VERGER FAMILIAL
FER,CHEMIN DE FER
FILAO,FILAO
FLOR,JARDIN FLORAL
FONT,FONTAINE
FOSSE,FOSSE
FOUG,FOUGERAIE
FRAMB,FRAMBOISIERS
FRICH,FRICHE
GAREN,GARENNE
GENET,GENETS
GLAIS,GLAISIERE
GRAVE,GRAVIERE
HAIES,HAIES FRUITIERES
HERB,HERBAGE
HETRE,HETRES
HIST,DEPENDANCES DE MONUMENTS HISTORIQUES
HORT,JARDINS HORTICOLES
HOUBL,HOUBLON
HTIGE,VERGERS EXPLOITES EN HAUTES TIGES
HUITR,PARC A HUITRES
IMM,DEPENDANCES D ENSEMBLE IMMOBILIER
IMPRO,LANDE IMPRODUCTIVE
INTEN,VERGER INDUSTRIEL
JARD,JARDIN D AGREMENT
JETT,JETTINS
JOUAL,JOUALLE
KIWIS,KIWIS
LAC,LAC
LAGUN,LAGUNE
LAVOI,LAVOIR
LEGUM,LEGUMIERE DE PLEIN CHAMP
MAQUI,MAQUIS
MARAI,PRE MARAIS
MARAM,JARDIN MARAICHER AMENAGE
MARE,MARE
MAREC,MARECAGE
MARN,MARNIERE
MARNA,JARDIN MARAICHER NON AMENAGE
MELEZ,MELEZES
MOTTE,MOTTES
MUR,MURAIES OU MURIERS (VERGERS)
NATUR,BOIS NATUREL
NOISE,NOISERAIE OU NOISETIERS
NOYER,NOYERAIE OU NOYERS
NPECH,ETANG NON POTABLE
OLIVE,OLIVAIES OU OLIVIERS
ORANG,ORANGERS (VERGERS)
ORME,ORMAIE OU ORMES
PACAG,PACAGE
PAFEU,PARE-FEUX
PALMI,BOIS PALMISTE
PARC,PARC
PASS,PASSAGE (NON GROUPE)
PATIS,PATIS
PATUR,PATURE PLANTEE
PECH,ETANGS PECHABLES
PECHE,PECHERS
PEPIN,PEPINIERES
PIEDS,PIEDS-MERES (VIGNES)
PIERR,"PIERRAILLE, PIERRIER"
PIN,PINS
PLAGE,PLAGE
PLATR,PLATRIERE
PLVEN,VERGERS DE PLEIN VENT
POIRE,POIRIERS
POMME,POMMIERS
POTAG,POTAGERS
PROTE,BOIS DE PROTECTION
PRUNE,PRUNIERS
RAIS,RAISINS DE TABLE
RESER,RESERVOIR
RESIN,RESINEUX
RIVAG,RIVAGE (BOIS DE)
RIZ,RIZIERE
ROC,ROCS OU ROCHERS
ROUI,ROUTOIR OU ROUSSOIR
RUE,RUE
RUINE,RUINES
SABLE,SABLIERE
SALIN,MARAIS SALANT
SAPIN,SAPINS OU SAPINIERE
SART,SARTIERES
SAULE,SAULAIE OU SAUSSAIE
SERRE,SERRE
SOL,SOLS
SOURC,SOURCE
SPORT,TERRAIN DE SPORT
TAMAR,TAMARIN
TAUZ,TAILLIS TAUZIN
TERRI,TERRILS
TOURB,TOURBIERE
TOUYA,TOUYAS
VADC,VINS D APPELLATION D ORIGINE CONTROLEE
VAGUE,TERRAIN VAGUE
VANIL,VANILLE
VAOC,VINS D APPELLATION D ORIGINE CONTROLEE
VCHAS,CHASSELAS
VDQS,VINS DELIMITES DE QUALITE SUPERIEURE
VIGNE,VIGNE
VIVIE,VIVIER
