CODE,LIBELLE,OBSERVATION
1,ETAT ETRANGER, 
1,ETAT FRANCAIS, 
2,CONSEIL REGIONAL, 
2,LYCEE, 
3,CENTRE DE GESTION, 
3,COLLEGE, 
3,CONSEIL GENERAL, 
4,ASSOCIATION FONCIERE, 
4,CENTRE COMMUNAL D'ACTION SOCIALE, 
4,COMMISSION SYNDICALE DE LA SECTION, 
4,COMMUNE, 
4,INTERCOMMUNALITE, 
4,REGIE,
4,SYNDICAT INTERCOMMUNAL, 
5,OFFICE HLM, 
9,AGENCE DE L'EAU, 
9,AGENCE DE L'ENVIRONNEMENT ET DE LA MAITRISE DE L'ENERGIE, 
9,AGENCE D'URBANISME, 
9,AGENCE FRANCAISE DE DEVELOPPEMENT, 
9,AGENCE FRANCAISE DE SECURITE SANITAIRE DES PRODUITS DE SANTE, 
9,AGENCE NATIONALE DE L'HABITAT, 
9,ALLOCATIONS FAMILIALES, 
9,ASSURANCE MALADIE, 
9,AUTRE ETABLISSEMENT PUBLIC, 
9,BANQUE OSEO, 
9,BUREAU DE RECHERCHES GEOLOGIQUES ET MINIERES, 
9,CAISSE DES DEPOTS ET CONSIGNATIONS, 
9,CEMAGREF, 
9,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE, 
9,CENTRE NATIONAL D'ETUDES SPATIALES, 
9,CENTRE REGIONAL DE LA PROPRIETE FORESTIERE, 
9,CENTRE SCIENTIFIQUE ET TECHNIQUE DU BATIMENT, 
9,CEREMA, 
9,CHAMBRE CONSULAIRE, 
9,CHARBONNAGES DE FRANCE, 
9,COMMISSARIAT A L'ENERGIE ATOMIQUE, 
9,CONCESSIONNAIRE AUTOROUTIER, 
9,CONSEIL D'ARCHITECTURE D'URBANISME ET DE L'ENVIRONNEMENT, 
9,CONSERVATOIRE NATUREL, 
9,CROUS, 
9,EDF/GDF, 
9,ETABLISSEMENT D'ENSEIGNEMENT, 
9,ETABLISSEMENT HOSPITALIER, 
9,ETABLISSEMENT PUBLIC CULTUREL, 
9,ETABLISSEMENT PUBLIC FONCIER, 
9,ETABLISSEMENT PUBLIC SOCIAL, 
9,ETABLISSEMENT SCIENTIFIQUE, 
9,FRANCE TELECOM, 
9,IFREMER, 
9,INSTITUT GEOGRAPHIQUE NATIONAL, 
9,INSTITUTION DE GESTION SOCIALE DES ARMEES, 
9,INSTITUT NATIONAL DE LA PROPRIETE INDUSTRIELLE, 
9,INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE, 
9,INSTITUT NATIONAL DE LA STATISTIQUE ET DES ETUDES ECONOMIQUES, 
9,INSTITUT NATIONAL DE L'ORIGINE ET DE LA QUALITE, 
9,INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET AUTOMATIQUE, 
9,LA MASSE DES DOUANES, 
9,LA POSTE, 
9,MAISON DE RETRAITE,Publique ou privée (dont EHPAD)
9,METEO FRANCE, 
9,OFFICE NATIONAL DE LA CHASSE ET DE LA FAUNE SAUVAGE, 
9,OFFICE NATIONAL DE L'EAU ET DES MILIEUX AQUATIQUES, 
9,OFFICE NATIONAL DES FORETS, 
9,OFFICE NATIONAL D'ETUDES ET DE RECHERCHES AEROSPATIALES, 
9,PARC NATIONAL, 
9,PARC NATUREL REGIONAL, 
9,POLE EMPLOI, 
9,PORT AUTONOME, 
9,REGIE AUTONOME DES TRANSPORTS PARISIENS, 
9,SERVICE D'INCENDIE ET DE SECOURS, 
9,SERVICE HYDROGRAPHIQUE ET OCEANOGRAPHIQUE DE LA MARINE, 
9,SNCF/RFF OU AUTRE RESEAU FERRE, 
9,SOCIETE D'AMENAGEMENT FONCIER ET D'ETABLISSEMENT RURAL, 
9,TELEDIFFUSION DE FRANCE, 
9,UNION DES GROUPEMENTS D'ACHATS PUBLICS, 
9,VOIES NAVIGABLES DE FRANCE, 
7,COPROPRIETE, 
0,AGENCE IMMOBILIERE, 
0,ASSOCIATION AUTRE, 
0,ASSOCIATION DE CHASSE ET PECHE, 
0,ASSOCIATION D'EDUCATION POPULAIRE, 
0,ASSOCIATION DE GESTION, 
0,ASSOCIATION FAMILIALE, 
0,ASSOCIATION IMMOBILIERE, 
0,ASSOCIATION SOCIALE, 
0,ASSOCIATION SPORTIVE, 
0,ASSOCIATION SYNDICALE, 
0,CENTRE COMMERCIAL, 
0,CENTRE MEDICAL, 
0,COOPERATIVE AGRICOLE, 
0,COURS D'EAU, 
0,ENTREPRISE UNIPERSONNELLE A RESPONSABILITE LIMITEE, 
0,GROUPEMENT FONCIER AGRICOLE, 
0,GROUPEMENT FONCIER RURAL, 
0,GROUPEMENT FORESTIER, 
0,GROUPEMENT SYNDICAL FORESTIER, 
0,MAISON DE RETRAITE PRIVEE, 
0,PERSONNE MORALE PRIVEE, 
0,PROPRIETAIRES EN BIENS NON DELIMITES (BND), 
0,SOCIETE ANONYME, 
0,SOCIETE A RESPONSABILITE LIMITEE, 
0,SOCIETE AUTRE, 
0,SOCIETE CIVILE AUTRE, 
0,SOCIETE CIVILE DE CONSTRUCTION VENTE, 
0,SOCIETE CIVILE DE PLACEMENT IMMOBILIER, 
0,SOCIETE CIVILE FONCIERE, 
0,SOCIETE CIVILE IMMOBILIERE, 
0,SOCIETE CIVILE PARTICULIERE, 
0,SOCIETE D'ECONOMIE MIXTE, 
0,SOCIETE DE GESTION, 
0,SOCIETE D'INTERET COLLECTIF AGRICOLE, 
0,SOCIETE EN NOM COLLECTIF, 
0,SOCIETE FONCIERE, 
0,SOCIETE INDUSTRIELLE, 
0,STRUCTURE AERIENNE, 
0,STRUCTURE AGRICOLE, 
0,STRUCTURE CULTUELLE, 
0,STRUCTURE CULTURELLE, 
0,SYNDICAT AGRICOLE, 
0,SYNDICAT AUTRE, 
0,SYNDICAT DE CANAL, 
0,SYNDICAT DES MARAIS, 
0,SYNDICAT D'INITIATIVE,
