CODE,LIBELLE
CB,EXONERATION POUR LES PARCELLES EXPLOITEES SELON LE MODE DE PRODUCTION BIOLOGIQUE
DA,"EXONERATION DES TERRES AGRICOLES DANS LES DOM (GROUPES DE CULTURES 1 A 6, 8 ET 9)"
ER,"TERRAINS BOISES PRESENTANT UN ETAT DE FUTAIE IRREGULIERE EN EQUILIBRE DE REGENERATION - EXONERATION PARTIELLE (25%) DE 15 ANS, RENOUVELABLE"
NA,EXONERATION NATURA 2000
NO,EXONERATION POUR PLANTATION DE NOYERS (SUR DELIBERATION)
OL,EXONERATION POUR TERRAINS PLANTES EN OLIVIERS (SUR DELIBERATION)
PB,EXONERATION POUR PLANTATION DE BOIS (GROUPE 5)
PF,"FEUILLUS : PLANTATIONS ET SEMIS - FUTAIES, TAILLIS SOUS FUTAIE EN REGENERATION NATURELLE - EXONERATION TEMPORAIRE DE 50 ANS"
PN,EXONERATION POUR TERRAINS DANS PARC NATIONAL NATUREL (DOM)
PP,PEUPLIERS - PLANTATION ET SEMIS – EXONERATION DE 10 ANS
PR,"RESINEUX – PLANTATION ET SEMIS - FUTAIES, TAILLIS SOUS FUTAIE EN REGENERATION NATURELLE - EXONERATION TEMPORAIRE DE 30 ANS "
TA,"EXONERATION DES TERRES AGRICOLES (GROUPES DE CULTURE 1 A 6, 8 ET 9)"
TU,EXONERATION POUR TERRAINS NOUVELLEMENT PLANTES EN ARBRES TRUFFIERS – ART. 1395 B-II DU CGI
VG,"EXONERATION VERGERS, CULTURES FRUITIERES D ARBRES ET D ARBUSTES, VIGNES."
