CODE,LIBELLE
01,ETAT (1)
01-02,ETAT (1) ET REGION (2)
01-03,ETAT (1) ET DEPARTEMENT (3)
01-04,ETAT (1) ET COMMUNE (4)
01-05,ETAT (1) ET OFFICE HLM (5)
01-07,ETAT (1) ET COPROPRIETE (7)
01-09,ETAT (1) ET ETABLISSEMENT PUBLIC (9)
01-10,ETAT (1) ET PERSONNE MORALE PRIVEE (10)
01-20,ETAT (1) ET PERSONNE PHYSIQUE (20)
02,REGION (2)
02-03,REGION (2) ET DEPARTEMENT (3)
02-04,REGION (2) ET COMMUNE (4)
02-05,REGION (2) ET OFFICE HLM (5)
02-07,REGION (2) ET COPROPRIETE (7)
02-09,REGION (2) ET ETABLISSEMENT PUBLIC (9)
02-10,REGION (2) ET PERSONNE MORALE PRIVEE (10)
02-20,REGION (2) ET PERSONNE PHYSIQUE (20)
03,DEPARTEMENT (3)
03-04,DEPARTEMENT (3) ET COMMUNE (4)
03-05,DEPARTEMENT (3) ET OFFICE HLM (5)
03-07,DEPARTEMENT (3) ET COPROPRIETE (7)
03-09,DEPARTEMENT (3) ET ETABLISSEMENT PUBLIC (9)
03-10,DEPARTEMENT (3) ET PERSONNE MORALE PRIVEE (10)
03-20,DEPARTEMENT (3) ET PERSONNE PHYSIQUE (20)
04,COMMUNE (4)
04-05,COMMUNE (4) ET OFFICE HLM (5)
04-07,COMMUNE (4) ET COPROPRIETE (7)
04-09,COMMUNE (4) ET ETABLISSEMENT PUBLIC (9)
04-10,COMMUNE (4) ET PERSONNE MORALE PRIVEE (10)
04-20,COMMUNE (4) ET PERSONNE PHYSIQUE (20)
05,OFFICE HLM (5)
05-07,OFFICE HLM (5) ET COPROPRIETE (7)
05-09,OFFICE HLM (5) ET ETABLISSEMENT PUBLIC (9)
05-10,OFFICE HLM (5) ET PERSONNE MORALE PRIVEE (10)
05-20,OFFICE HLM (5) ET PERSONNE PHYSIQUE (20)
07,COPROPRIETE (7)
07-10,COPROPRIETE (7) ET PERSONNE MORALE PRIVEE (10)
07-20,COPROPRIETE (7) ET PERSONNE PHYSIQUE (20)
09,ETABLISSEMENT PUBLIC (9)
09-07,ETABLISSEMENT PUBLIC (9) ET COPROPRIETE (7)
09-10,ETABLISSEMENT PUBLIC (9) ET PERSONNE MORALE PRIVEE (10)
09-20,ETABLISSEMENT PUBLIC (9) ET PERSONNE PHYSIQUE (20)
10,PERSONNE MORALE PRIVEE (10)
10-20,PERSONNE MORALE PRIVEE (10) ET PERSONNE PHYSIQUE (20)
20,PERSONNE PHYSIQUE (20)
30,PERSONNES PUBLIQUES UNIQUEMENT (30)
40,PERSONNES PUBLIQUES ET PRIVEES (40)
50,PERSONNES PRIVEES (50)
 ,PAS DE COMPTE COMMUNAL
