CODE,LIBELLE
0111Z,"CULTURE DE CEREALES (A L EXCEPTION DU RIZ), DE LEGUMINEUSES ET DE GRAINES OLEAGINEUSES"
0112Z,CULTURE DU RIZ
0113Z,"CULTURE DE LEGUMES, DE MELONS, DE RACINES ET DE TUBERCULES"
0114Z,CULTURE DE LA CANNE A SUCRE
0115Z,CULTURE DU TABAC
0116Z,CULTURE DE PLANTES A FIBRES
0119Z,AUTRES CULTURES NON PERMANENTES
0121Z,CULTURE DE LA VIGNE
0122Z,CULTURE DE FRUITS TROPICAUX ET SUBTROPICAUX
0123Z,CULTURE D AGRUMES
0124Z,CULTURE DE FRUITS A PEPINS ET A NOYAU
0125Z,CULTURE D AUTRES FRUITS D ARBRES OU D ARBUSTES ET DE FRUITS A COQUE
0126Z,CULTURE DE FRUITS OLEAGINEUX
0127Z,CULTURE DE PLANTES A BOISSONS
0128Z,"CULTURE DE PLANTES A EPICES, AROMATIQUES, MEDICINALES ET PHARMACEUTIQUES"
0129Z,AUTRES CULTURES PERMANENTES
0130Z,REPRODUCTION DE PLANTES
0141Z,ELEVAGE DE VACHES LAITIERES
0142Z,ELEVAGE D AUTRES BOVINS ET DE BUFFLES
0143Z,ELEVAGE DE CHEVAUX ET D AUTRES EQUIDES
0144Z,ELEVAGE DE CHAMEAUX ET D AUTRES CAMELIDES
0145Z,ELEVAGE D OVINS ET DE CAPRINS
0146Z,ELEVAGE DE PORCINS
0147Z,ELEVAGE DE VOLAILLES
0149Z,ELEVAGE D AUTRES ANIMAUX
0150Z,CULTURE ET ELEVAGE ASSOCIES
0161Z,ACTIVITES DE SOUTIEN AUX CULTURES
0162Z,ACTIVITES DE SOUTIEN A LA PRODUCTION ANIMALE
0163Z,TRAITEMENT PRIMAIRE DES RECOLTES
0164Z,TRAITEMENT DES SEMENCES
0170Z,"CHASSE, PIEGEAGE ET SERVICES ANNEXES"
0210Z,SYLVICULTURE ET AUTRES ACTIVITES FORESTIERES
0220Z,EXPLOITATION FORESTIERE
0230Z,RECOLTE DE PRODUITS FORESTIERS NON LIGNEUX POUSSANT A L ETAT SAUVAGE
0240Z,SERVICES DE SOUTIEN A L EXPLOITATION FORESTIERE
0311Z,PÊCHE EN MER
0312Z,PÊCHE EN EAU DOUCE
0321Z,AQUACULTURE EN MER
0322Z,AQUACULTURE EN EAU DOUCE
0510Z,EXTRACTION DE HOUILLE
0520Z,EXTRACTION DE LIGNITE
0610Z,EXTRACTION DE PETROLE BRUT
0620Z,EXTRACTION DE GAZ NATUREL
0710Z,EXTRACTION DE MINERAIS DE FER
0721Z,EXTRACTION DE MINERAIS D URANIUM ET DE THORIUM
0729Z,EXTRACTION D AUTRES MINERAIS DE METAUX NON FERREUX
0811Z,"EXTRACTION DE PIERRES ORNEMENTALES ET DE CONSTRUCTION, DE CALCAIRE INDUSTRIEL, DE GYPSE, DE CRAIE ET D ARDOISE"
0812Z,"EXPLOITATION DE GRAVIERES ET SABLIERES, EXTRACTION D ARGILES ET DE KAOLIN"
0891Z,EXTRACTION DES MINERAUX CHIMIQUES ET D ENGRAIS MINERAUX
0892Z,EXTRACTION DE TOURBE
0893Z,PRODUCTION DE SEL
0899Z,AUTRES ACTIVITES EXTRACTIVES N.C.A.
0910Z,ACTIVITES DE SOUTIEN A L EXTRACTION D HYDROCARBURES
0990Z,ACTIVITES DE SOUTIEN AUX AUTRES INDUSTRIES EXTRACTIVES
1011Z,TRANSFORMATION ET CONSERVATION DE LA VIANDE DE BOUCHERIE
1012Z,TRANSFORMATION ET CONSERVATION DE LA VIANDE DE VOLAILLE
