CODE,LIBELLE
B,LOCAUX MEUBLES A USAGE D HABITATION FAISANT L OBJET DE LOCATIONS OCCASIONNELLES PERMANENTES OU SAISONNIERES (TH)
D,DIVISION FISCALE (TP) OU LOCAL DEMOLI (TH)
F,FONCTIONNAIRE LOGE (TH)
G,OCCUPATION A TITRE GRATUIT (TH)
L,OCCUPATION PAR UN LOCATAIRE (TH)
N,LOCAL DEPENDANCE NON IMPOSABLE (TH)
P,OCCUPATION PAR LE PROPRIETAIRE (TH)
R,OCCUPATION PAR UN ARTISAN EXONERE (TP)
T,LOCAL IMPOSE A LA TAXE PROFESSIONNELLE (TH)
U,UTILISATION COMMUNE (TP)
V,LOCAL VACANT
X,OCCUPATION PAR BAIL RURAL (TH)
