CODE,LIBELLE
01,TERRES
02,"PRES, PRAIRIES NATURELLES, HERBAGES ET PATURAGES"
03,"VERGERS, CULTURES FRUITIERES D ARBRES, ARBUSTES"
04,VIGNES
05,"BOIS, AULNAIES, SAUSSAIES, OSERAIES"
06,"LANDES, PATIS, BRUYERES, MARAIS, TERRES VAINES ET VAGUES"
07,CARRIERES
08,"LACS, ETANGS, MARES, ABREUVOIRS, FONTAINES, CANAUX NON NAVIGABLES ET DEPENDANCES, SALINS, SALINES, MARAIS SALANTS"
09,JARDINS (AUTRES QUE LES JARDINS D AGREMENT)
10,TERRAINS A BATIR
11,TERRAINS D AGREMENT
12,CHEMINS DE FER ET CANAUX
13,SOLS
