CODE,LIBELLE
AD,Droit commun (2 ans) – addition de construction
AE,Exonération de 20 ans en faveur des logements sociaux qui respectent un certain nombre de normes environnementales pour additions de constructions
AF,"2 ans pour addition de construction avec prêt conventionne, PAP ou PLA"
AG,Exonération à durée variable pour contrat de partenariat avec une personne publique (addition de construction) – article 1382 1° bis
AK,Exonération de 20 ans pour les logements intermédiaires loués dans les conditions de l’article 279-0 bis A (addition de construction) – art. 1384-0 A du CGI
AL,Exonération de 15 ans pour logements sociaux (AC)
AP,Exonération annuelle pour installation antipollution
AQ,Exonération de 15 ans pour addition de construction antérieure au 01/01/1973
AS,Abattement de 30 % pour les locaux sociaux situés dans les DOM et équipés contre les risques naturels
AT,Exonération de 30 ans pour les logements sociaux respectant certains critères de qualité environnementale (addition de construction)
AU,Exonération de 25 ans pour les logements financés au moyen de prêts aidés par l’État (addition de construction)
AV,Exonération de 25 ans pour les logements financés au moyen de prêts aidés par l’État (addition de construction)
AW,Exonération de 25 ans pour les logements financés au moyen de prêts aidés par l’État (addition de construction)
AY,Exonération de 15 ans pour logements sociaux (AC)
AZ,Exonération de 30 ans pour les logements sociaux respectant certains critères de qualité environnementale (addition de construction).
BE,Local situé dans un bassin d’emploi à redynamiser. Article 1383 H du CGI.
BH,Locaux à usage de bureau transformés en habitation principale
BS,Abattement de 30 % pour les logements faisant l’objet d’un bail réel solidaire
CE,Abattement de 5 ans pour cession relevant de l’article 1388 sexies du CGI (Mayotte)
D,Personne âgée et non imposable à l’impôt sur le revenu
DF,Exonération pour bâtiment déshydratation des fourrages.
DO,Exonération spécifique des DOM prévue à l’article 330 de l’annexe II au CGI
E1,Exonération ECF de droit commun – 100 % – 1ère année
E2,Exonération ECF de droit commun – 100 % – 2e année
E3,Exonération ECF de droit commun – 67 % – 3e année
E4,Exonération ECF de droit commun – 33 % – 4e année
EA,Exonération économiquement faible (ECF) – type A
EC,Exonération économiquement faible (ECF) – type C
EE,Exonération économiquement faible (ECF) – type E
EF,Exonération économiquement faible (ECF) – type F
EI,Exonération pour les jeunes entreprises innovantes
EN,Exonération entreprise nouvelle.
ES,Équipements souterrains indissociables des casiers des installations de stockage de déchets non dangereux
EW,Exonération ECF de droits acquis
G,Exonération économiquement faible (ECF) – type G
G1,Transfert de propriétés bâties par l’État aux grands ports maritimes non affectés à un service public ou d’utilité générale ou productifs de revenu – 1ère année – 100 %
G2,Transfert de propriétés bâties par l’État aux grands ports maritimes non affectés à un service public ou d’utilité générale ou productifs de revenu – 2e année – 100 %
G3,Transfert de propriétés bâties par l’État aux grands ports maritimes non affectés à un service public ou d’utilité générale ou productifs de revenu – 3e année – 75 %
G4,Transfert de propriétés bâties par l’État aux grands ports maritimes non affectés à un service public ou d’utilité générale ou productifs de revenu – 4e année – 50 %
G5,Transfert de propriétés bâties par l’État aux grands ports maritimes non affectés à un service public ou d’utilité générale ou productifs de revenu – 5e année – 25 %
GP,Grand port maritime
GS,Exonération pour groupement de coopération sanitaire
HU,Exonération de 15 ans pour logements sociaux acquis ou aménagés
HY,Exonération de 25 ans pour logements sociaux acquis ou aménagés
LA,LA Durée variable – totale ou partielle – PLA
LE,Exonération de 15 ans pour les logements acquis avec l’aide de l’aide de l’État en vue de leur location
LG,Exonération établissements publics supérieurs sous contrat avec des sociétés dont le capital est entièrement public.
LI,Exonération de 15 ans pour les logements sociaux acquis d’un organisme mentionné à l’article L 411.5 du Code de la construction et de l’habitation.
LM,Local situé dans une zone de revitalisation rurale. Article 1383 E bis du CGI.
LR,Durée variable – totale ou partielle habilitation
LW,Exonération de 25 ans pour les logements acquis avec l’aide de l’État en vue de leur location.
LY,Prorogation de 10 ans de l’exonération « LE » prévue à l’art. 1384 C du CGI
MA,Minoration de 60 % de la valeur locative des locaux d’habitation situés à Mayotte
MS,Maison de santé
ND,Droit commun (2 ans) – construction nouvelle
NE,Exonération de 20 ans en faveur des logements sociaux qui respectent un certain nombre de normes environnementales pour constructions nouvelles
NF,"2 ans pour construction nouvelle avec prêt conventionne, PAP ou PLA"
NG,Exonération à durée variable pour contrat de partenariat avec une personne publique (construction nouvelle) – article 1382 1° bis
NK,Exonération de 20 ans pour les logements intermédiaires loués dans les conditions de l’article 279-0 bis A (construction nouvelle) – art. 1384-0 A du CGI
NL,Exonération de 15 ans pour logements sociaux (CN)
NQ,Exonération de 15 ans pour construction nouvelle antérieure au 01/01/1973
